School,Major,Course_Units,PhD,Intro_101,Class_Size
SAS,Architecture,33,0,0,11
SAS,Biochemistry,36.5,0,0,26
SAS,Biology,36,1,1,77
SAS,Biophysics,40,1,0,14
SAS,Chemistry,36,1,1,53
SAS,Cinema_Studies,33,0,0,18
SAS,Cognitive_Science,36,0,1,45
SAS,Communications,34,1,1,32
SAS,Design,34,0,0,6
SAS,Earth_Environmental_Science,35.5,1,1,19
SAS,Economics,32,1,1,110
SAS,English,33,1,0,28
SAS,Fine_Arts,34,0,0,5
SAS,French,32,0,1,9
SAS,History,33,1,0,21
SAS,Linguistics,34,1,1,14
SAS,Mathematical_Economics,37,0,0,18
SAS,Mathematics,33,1,1,25
SAS,Music,34,0,0,4
SAS,Neuroscience,36,1,1,65
SAS,Philosophy,32,1,1,30
SAS,Physics,37.5,1,0,53
SAS,Political_Science,32,1,0,63
SAS,Psychology,34,1,1,58
SAS,Theatre_Arts,33,0,1,5
SAS,Visual_Studies,35,0,1,3
SEAS,Bioengineering,37,1,0,35
SEAS,Chemical_Biomolecular_Engineering,36,0,0,37
SEAS,Computer_Engineering,40,0,1,15
SEAS,Computer_Science,35,1,1,92
SEAS,Electrical_Engineering,37,1,0,45
SEAS,Materials_Science_Engineering,36.5,1,0,33
SEAS,Mechanical_Engineering,37,1,0,29
SEAS,Systems_Science_Engineering,39,0,1,17
WHARTON,Behavioral_Economics,36,1,0,43
WHARTON,Business_Analytics,37,0,0,60
WHARTON,Finance,37,1,1,67
WHARTON,Legal_Studies,34,0,1,13
WHARTON,Management,35,0,1,55
WHARTON,Marketing,37,0,1,38
WHARTON,Statistics_Data_Science,39,1,1,43
NURSING,Nursing,38,0,1,213
NURSING,Nutrition_Science,40.5,1,1,31
